Punto_gps prod_impr tamaño detalle color lote
437 p g am 2 1
440 p g ok 3 1
441 p g ok 3 1
442 p g ok 3 1
443 p g ok 3 1
444 p g ok 3 1
445 p g am 2 1
446 np m z1 3 1
447 np p z1 3 1
448 np p z1 3 1
449 p g am 2 1
450 p g ok 3 1
451 p g am 2 1
452 p g ok 3 1
453 p g ok 3 1
454 p g ok 3 1
455 p g am 2 1
456 p g am 2 1
457 p g am 1 1
458 np p z1 3 1
459 p m am 1 1
460 p m am 1 1
461 p g am 2 1
462 p g ok 3 1
463 p m am 2 1
464 p m am 2 1
465 p m ok 3 1
466 p g am 2 1
467 p g am 2 1
468 p g ok 3 1
469 np m z1 3 1
470 p g am 2 1
471 p g ok 3 1
472 p g ok 3 1
473 p g ok 3 1
474 np m z1 3 1
475 np m z1 3 1
476 np m z1 3 1
477 p g ok 3 1
478 np m z1 3 1
479 np m z1 3 1
480 np p r2 3 1
481 np m z1 3 1
482 np p z0.5 2 1
483 np p z1 3 1
484 np m z1 3 1
485 p g ok 3 1
486 p g am 2 1
487 p g am 2 1
488 p g am 2 1
489 p g am 2 1
490 p g ok 3 1
491 p g ok 3 1
492 p g ok 3 1
493 p g am 2 1
494 p g am 2 1
495 p mg ok 4 1
496 p mg ok 4 1
497 p g am 2 1
498 p g ok 3 1
499 p g ok 3 1
500 p g am 2 1
501 np m z1 3 1
502 p g am 2 1
503 p g am 2  1
504 np p z0.5 2 1
505 p g ok 3 1
506 np m z1 3 1
507 p g am 2 1
508 p g am 2 1
509 p m am 2 1
510 np m z1 3 1
511 p m am 2 1
512 np m z1 3 1
513 np m z1 3 1
514 p g am 2 1
515 p g am 2 1
516 p m ok 3 1
517 np m z1 3 1
518 p g ok 3 1
519 p mg ok 3 1
520 p mg ok 3 1
521 p mg ok 3 1
522 p g am 2 1
523 p g am 2 1
524 p m ok 3 1
525 p g ok 3 1
526 p mg am 2 1
527 p mg ok 3 1
528 p mg ok 3 1
529 p g ok 3 1
530 p g ok 3 1
531 p g ok 3 1
532 p g ok 4 1
533 p g ok 3 1
534 p g am 2 1
535 p g am 2 1
536 p g am 2 1
537 p g ok 4 1
538 np p r1.5 3 1
539 p g ok 4 1
540 p g ok 4 1
541 p g am 2 1
542 np v er 0 1
543 p g ok 3 1
544 p g ok 3 1
545 p m ok 3 1
546 p g ok 3 1
547 p g ok 3 1
548 p mg ok 3 1
549 p g ok 3 1
550 p g ok 3 1
551 np m ok 3 1
552 p g am 2 1
553 p g ok 3 1
554 p g ok 3 1
555 p mg ok 3 1
556 p mg ok 4 1
557 p mg ok 4 1
558 np m ok 3 1
559 p m am 2 1
560 np p z1 0 1
561 p g ok 3 1
562 p g ok 3 1
563 p g ok 3 1
564 p g ok 3 1
565 p g am 2 1
566 p m am 2 1
567 p g am 2 1
568 p g ok 3 1
569 p g ok 3 1
570 p g ok 3 1
571 p g ok 4 1
572 p g ok 3 1
573 p g ok 3 1
574 p g ok 4 1
575 p g ok 3 1
576 p g ok 3 1
577 np p zc1 2 1
578 np m z2 2 1
579 p g ok 3 1
580 p g ok 3 1
581 p g ok 3 1
582 p g ok 3 1
583 p g ok 3 1
584 p g ok 3 1
585 p g ok 3 1
586 p p z2 2 1
587 p g ok 3 1
588 p g ok 3 1
589 p g ok 3 1
590 p g ok 3 1
591 p g ok 3 1
592 p g ok 3 1
593 p g am 2 1
594 p g ok 3 1
595 p g ok 3 1
596 p g am 2 1
597 p g ok 3 1
598 p g ok 3 1
599 p g ok 3 1
600 p g am 1 1
601 p g ok 3 1
602 p g am 2 1
603 p g am 2 1
604 p g ok 3 1
605 p g ok 3 1
606 p g ok 3 1
607 p g ok 3 1
608 p g ok 3 1
609 p g ok 3 1
610 p g ok 3 1
611 p m am 2 1
612 p g am 2 1
613 p g ok 3 1
614 p g ok 3 1
615 p g am 2 1
616 p g ok 3 1
617 p g ok 3 1
618 p g ok 3 1
619 p g am 2 1
620 p g ok 3 1
621 p g ok 3 1
622 p g ok 3 1
623 p g ok 3 1
624 p g ok 3 1
625 p g ok 3 1
626 p g ok 3 1
627 p g ok 3 1
628 p g ok 3 1
629 p g ok 3 1
630 p g am 2 1
631 p g ok 3 1
632 p g ok 3  1
633 p g ok 3 1
634 np v mue 0 1
635 p g ok 3 1
636 p g ok 3 1
637 p g ok 3 1
638 p g am 2 1
639 p g am 2 1
640 p g ok 3 1
641 p m z2 3 1
642 p g ok 3 1
643 p g ok 3 1
644 p g ok 3 1
645 p g am 2 1
646 p g ok 3 1
647 p g ok 3 1
648 p g ok 3 1
649 p g ok 3 1
650 p mg ok 3 1
651 p g ok 3 2
652 p g ok 3 2
653 np m z1 3 2
654 np p z0.5 0 2
655 np p z1 3 2
656 np p z1 1 2
657 np m z1 3 2
658 np p z0.5 1 2
659 np m z1 3 2
660 np m z1 3 2
661 np m ok 2 2
662 np m z1 3 2
663 np m z1 3 2
664 p g ok 4 2
665 p g ok 3 2
666 p g ok 4 2
667 p g ok 3 2
668 p g ok 3 2
669 p g ok 3 2
670 p g ok 3 2
671 p g ok 3 2
672 p g ok 3 2
673 p mg ok 3 2
674 p g ok 4 2
675 p g ok 3 2
676 p g ok 4 2
677 p g ok 3 2
678 p g ok 3 2
679 p g ok 3 3
680 np p r2 3 3
681 p g ok 3 3
682 p m am 2 3
683 p g am 2 3
684 p m ok 3 3
685 p g ok 3 3
686 p g ok 3 3
687 p m ok 3 3
688 np v er 0 3
689 p m am 2 3
690 p m am 2 3
691 p m am 2 3
692 p m ok 2 3
693 p m am 2 3
694 p g ok 3 3
695 p g am 2 3
696 np p r1.5 3 3
697 p g ok 3 3
698 np p ok 3 3
699 p g ok 3 3
700 p m ok 3 3
701 p p am 2 3
702 p m am 2 3
703 p m am 2 3
704 p m am 2 3
705 p m am 2 3
706 p g ok 3 3
707 p g ok 3 3
708 p g ok 3 3
709 p m am 2 3
710 p m ok 3 3
711 p g ok 3 3
712 np v er 0 3
713 np v er 0 3
714 p m ok 3 3
715 p m am 2 3
716 p m ok 3 3
717 p m ok 3 3
718 p g ok 3 3
719 p m ok 3 3
720 p g ok 3 3
721 np p ok 3 3
722 p g am 2 3
723 p g ok 3 3
724 p m ok 3 3
725 p m ok 3 3
726 np v er 0 3
727 p m ok 3 3
728 np v er 0 3
729 np p r1.5 3 3
730 p m ok 3 3
731 p m am 2 3
732 p p ok 3 3
733 p m ok 3 3
734 p g ok 3 3
735 p m ok 3 3 
736 p m ok 3 3 
737 np v er 0 3
738 p m ok 3 3
739 np p r2 3 3
740 p m am 2 3
741 p m am 2 3
742 np p r2 2 3
743 p m am 2 3
744 p g ok 3 3
745 p g ok 3 3
746 p m ok 3 3
747 p m am 2 3
748 np v er 0 3
749 p p am 2 3
750 p g am 2 3
751 p g ok 3 3
752 p g am 2 3
753 p m ok 3 3
754 np v er 0 3
755 p m ok 3 3
756 p m ok 3 3
757 p m ok 3 3
758 p m ok 3 3
759 np p r1.5 2 3
760 p g ok 3 3
761 p m am 2 3
762 np v er 0 3
763 p m ok 3 3
764 p m ok 3 3
765 p m ok 3 3
766 p m ok 3 3
767 p m ok 3 3
768 p m am 2 3
769 p m ok 3 3
770 np p r1.5 3 3
771 np p r1.5 3 3
772 np v er 0 3
773 np m am 2 3
774 np p ok 3 3
775 p m am 2 3
776 np v er 0 3
777 p m ok 3 3
778 p m ok 3 3
779 np p r1.5 3 3
780 p m ok 3 3
781 np v er 0 3
782 p m ok 3 3
783 np m ok 3 3
784 p m ok 3 3
785 p m ok 3 3
786 p g ok 3 3
787 np p ok 3 3
788 p m ok 3 3
789 p m am 2 3
790 p m am 2 3
791 p m ok 3 3
792 p m am 2 3
793 np v er 0 3
794 p p am 2 3
795 np p r1.5 3 3
796 p m am 2 3
797 np p r2 2 3
798 p m ok 3 3
799 p m ok 3 3
800 p p ok 3 3
801 np m ok 3 3
802 np p am 2 3
803 p m ok 3 3
804 p m am 2 3
805 np p am 2 3
806 p p am 2 3
807 p m am 2 3
808 p g ok 3 3
809 p m am 2 3
810 p m am 2 3
811 p m ok 3 3
812 np v er 0 3
813 np p r1.5 3 3
814 p m am 2 3
815 p m ok 3 3
816 p m ok 3 3
817 p m am 2 3
818 np v er 0 3
819 np v er 0 3
820 p m ok 3 3
821 p m ok 3 3
822 np p r1.5 0 3
823 p m ok 3 3
824 p m ok 3 3
825 p p am 2 3
826 p m am 2 3
827 p m am 2 3
828 p m am 2 3
829 p m ok 3 3
830 p g ok 3 3
831 np p r2 3 3
832 np v er 0 3
833 p m am 2 3
834 np p ok 3 3
835 p g am 2 3
836 np p am 2 3
837 p m ok 3 3
838 p m ok 3 3
839 p m ok 3 3
840 p p am 2 3
841 np p am 2 3
842 np p am 2 3
843 np v er 0 3
844 np p ok 3 3
845 np p am 2 3
846 np p r2 3 3
847 np p am 2 3
848 np p ok 3 3
849 np v er 0 3
850 np p ok 3 3
851 p m ok 3 3
852 p m ok 3 3
853 np p r1.5 3 3
854 p m am 2 3
855 p m am 2 3 
856 p g ok 3 3
857 p m am 2 3
858 p m am 2 3
859 p m am 2 3
860 np v er 0 3
861 p g am 2 3
862 p g ok 3 3
863 p m am 2 3
864 p m am 2 3
865 p m am 2 3
866 p m ok 3 3
867 p m am 2 3
868 p m am 2 3
869 p m am 2 3
870 p p ok 3 3
871 np p z0.5 0 3
872 p m ok 3 3
873 p m ok 3 3
874 np v er 0 3
875 p m ok 3 3
876 p m ok 3 3
877 np p r1.5 3 3
878 np p ok 3 3
879 np p r1.5 2 3
880 p m ok 3 3
881 np p r1.5 1 3
882 p m ok 3 3
883 p m ok 3 3
884 np p r2 3 3
885 p g ok 3 3
886 p g ok 3 3
887 p m ok 3 3
888 p m ok 3 3
889 p g ok 3 3
890 np m ok 3 3
891 p m am 2 3
892 p p am 2 3
893 p m am 2 3
894 p m ok 3 3
895 np p r1.5 3 3
896 np p am 2 3
897 np v er 0 3
898 p m am 2 3
899 p m ok 3 3
900 p g ok 3 3
901 p g ok 3 3
902 p g am 2 3
903 np v er 0 3
904 p g am 2 3
905 p m ok 3 3
906 p g am 2 3
907 np v er 0 3
908 np p r1.5 3 3
909 np p ok 3 3
910 np p r1.5 1 3
911 np p r1.5 3 3
912 np p r1.5 3 3
913 np v er 0 3
914 p g ok 3 3
915 np v er 0 3
916 np m ok 3 3
917 np m ok 3 3
918 np p ok 3 3
919 np p r1.5 3 3
920 np p am 2 3
921 p m ok 3 3
922 p m ok 3 3
923 p g am 2 3
924 np v er 0 3
925 np p r1.5 3 3
926 p m am 2 3
927 p g am 2 3
928 p g ok 3 3
929 p m ok 3 3
930 p m am 2 3
931 p g am 2 3
932 p g am 2 3
933 p m am 2 3
934 p m am 2 3
935 np m ok 3 3
936 p m ok 3 3
937 p m ok 3 3
938 p m am 2 3
939 p m am 2 3
940 np p r1.5 3 3
941 p g am 2 3
942 p g ok 3 3
943 p m ok 3 3
944 p m ok 3 3
945 p p am 2 3
946 np v er 0 3
947 np p r1.5 3 3
948 np p am 2 3
949 p m am 2 3
950 p g ok 3 3
951 p m ok 3 3
952 p m am 2 3
953 p m am 2 3
954 p g ok 3 3
955 p m ok 3 3
956 p m am 2 3
957 p g ok 3 3
958 p m am 2 3
959 p g ok 3 3 
960 p m am 2 3
961 p g am 2 3
962 p g ok 3 3
963 np p ok 3 3
964 np g ok 3 3
965 p m am 2 3
966 p g ok 3 3
967 p m ok 3 3
968 p m am 2 3
969 p g ok 3 3
970 p g am 2 3
971 p g am 2 3
972 p m am 2 3
973 np v er 0 3
974 p m am 2 3
975 p m ok 3 3
976 p m ok 3 3
977 np p r1.5 3 3
978 p m am 2 3
979 p m ok 3 3
980 p m ok 3 3
981 p m ok 3 3
982 p g ok 3 3
983 p m ok 3 3
984 p m am 2 3
985 np p am 2 3
986 p m am 2 3
987 np p r1.5 2 3
988 p p ok 3 3
989 np p r1.5 2 3
990 p g am 2 3
991 np p r1.5 3 3
992 p m ok 3 3
993 p g ok 3 3
994 p m ok 3 3
995 p p r1.5 3 3
996 p g am 2 3
997 np p z0.5 0 3
998 p m am 2 3
999 np v er 0  3
1000 np v er 0 4
1001 p m am 2 4
1002 p p ok 3 4
1003 np p z2 1 4
1004 p p ok 3 4
1005 p m am 2 4
1006 np p r2 2 4
1007 np p r1.5 0 4
1008 np p am 2 4
1009 np m z1 3 4
1010 np m z1 3 4
1011 p m ok 3 4
1012 np m z1 2 4
1013 np v er 0 4
1014 np p z1 2 4
1015 np m r2 3 4
1016 np m z1 3 4
1017 np m z1 3 4
1018 np m z1 3 4
1019 np m z1 3 4
1020 np m z1 3 4
1021 p m ok 3 4
1022 np m z1 3 4
1023 np m ok 3 4
1024 p g ok 3 4
1025 np m z1 3 4
1026 p g ok 3 4
1027 p g ok 3 4
1028 np m am 2 4
1029 np m ok 3 4
1030 np p r1.5 1 4
1031 np p r1.5 3 4
1032 p g ok 3 4
1033 np m z1 3 4
1034 p g ok 3 4
1035 np m z1 3 4
1036 np v er 0 4
1037 np m z1 3 4
1038 np m am 1 4
1039 p g ok 3 4
1040 np m z1 2 4
1041 p g ok 3 4
1042 p g ok 3 4
1043 p g ok 3 4
1044 p p am 2 4
1045 p g ok 3 4
1046 np v er 0 4
1047 p g ok 3 4
1048 np m z1 3 4
1049 p m ok 3 4
1050 p g ok 3 4
1051 p g ok 3 4
1052 p g ok 3 4
1053 p g ok 3 4
1054 np g z2 3 4
1055 np m z2 3 4
1056 p g ok 3 4
1057 p g ok 3 4
1058 np m z1 3 4
1059 np v er 0 4
1060 p g ok 3 4
1061 p g ok 3 4
1062 p g ok 3 4
1063 np g z2 3 4
1064 np m ok 3 4
1065 p g am 2 4
1066 p m ok 3 4
1067 np v er 0 4
1068 np p r2 2 4
1069 p m ok 3 4
1070 p g ok 3 4
1071 p m ok 3 4
1072 p g ok 3 4
1073 p m ok 3 4
1074 p m ok 3 4
1075 p g ok 3 4
1076 np v er 0 4
1077 np m z1 3 4
1078 p g ok 3 4
1079 p g ok 3 4
1080 p g ok 3 4
1081 np g z2 3 4
1082 np m z1 3 4
1083 np m z1 3 4
1084 np m z1 3 4
1085 np m z1 2 4
1086 np m z1 2 4
1087 p m ok 3 4
1088 np g z2 3 4
1089 p m am 2 4
1090 np g z2 3 4
1091 np v er 0 4
1092 p g ok 3 4
1093 np m z1 3 4
1094 np m z1 3 4
1095 p g am 2 4
1096 p g am 2 4
1097 p g am 2 4
1098 p g ok 3 4
1099 p g ok 3 4
1100 np m z1 3 4
1101 p m am 2 4
1102 p g ok 3 4
1103 p g ok 3 4
1104 np g z2 3 4
1105 p g ok 3 4
1106 p g ok 3 4
1107 np g z1 3 4
1108 np m z2 3 4
1109 np m z1 3 4
1110 np m z1 3 4
1111 np m z1 3 4
1112 np m z1 3 4
1113 np m z1 3 4
1114 p g ok 3 4
1115 p g ok 3 4
1116 p g ok 3 4
1117 p g ok 3 4
1118 np v er 0 4
1119 p g ok 3 4
1120 np m z2 3 4
1121 np m z1 3 4
1122 p g ok 3 4
1123 p g ok 3 4
1124 np m z1 3 4
1125 np m z1 2 4
1126 np m z2 3 4
1127 np m z2 3 4
1128 np g z2 3 4
1129 np g z2 3 4
1130 np g z2 3 4
1131 np m z2 3 4
1132 np m z1 3 4
1133 np m z1 3 4
1134 p g ok 3 4
1135 np v er 0 4
1136 p m ok 3 4
1137 p m ok 3 4
1138 p g ok 3 4
1139 p g ok 3 4
1140 p g ok 3 4
1141 p g ok 3 4
1142 p g ok 3 4
1143 p g ok 3 4
1144 p m am 2 4
1145 p m am 2 4
1146 p g ok 3 4
1147 p g ok 3 4
1148 np p am 1 4
1149 p g ok 3 4
1150 p g ok 3 4
1151 p g ok 3 4
1152 np v er 0 5
1153 np m ok 3 5
1154 np p r1 2 5
1155 p m am 2 5
1156 p m am 2 5
1157 p m ok 3 5
1158 p m ok 3 5
1159 p g ok 3 5
1160 np m ok 3 5
1161 np p ok 3 5
1162 np p r2 1 5
1163 np m am 2 5
1164 np p ok 3 5
1165 p g ok 3 5
1166 p m am 2 5
1167 p g am 2 5
1168 p m am 2 5
1169 np p r1 3 5
1170 np g ok 3 5
1171 p g ok 3 5
1172 np v er 0 5
1173 np m ok 3 5
1174 p m ok 3 5
1175 np p ok 3 5
1176 np m ok 3 5
1177 p m ok 3 5
1178 np m ok 3 5
1179 np p ok 3 5
1180 p m ok 3 5
1181 p g ok 3 5
1182 np p r1 2 5
1183 p m ok 3 5
1184 p p ok 3 5
1185 p m am 2 5
1186 p m ok 3 5
1187 p m ok 3 5
1188 np p ok 3 5
1189 np p r1 3 5
1190 np v er 0 5
1191 p m ok 3 5
1192 np m am 1 5
1193 np p ok 3 5
1194 p m ok 3 5
1195 np p z0.5 3 5
1196 np v er 0 5
1197 p m am 2 5
1198 np p ok 3 5
1199 p m ok 3 5
1200 np v er 0 5
1201 p m ok 3 5
1202 p g am 2 5
1203 np v er 0 5
1204 p m ok 3 5
1205 np m ok 3 5
1206 np m ok 3 5
1207 np p ok 3 5
1208 p m ok 3 5
1209 np m am 2 5
1210 np p r2 1 5
1211 np m ok 3 5
1212 np m ok 3 5
1213 np p r1 2 5
1214 p p ok 3 5
1215 np v er 0 5
1216 p p am 2 5
1217 np p ok 3 5
1218 p p ok 3 5
1219 np p z0.5 3 5
1220 p m ok 3 5
1221 np p z0.5 3 5
1222 np p z0.5 3 5
1223 np p z0.5 3 5
1224 p m ok 3 5
1225 p m ok 3 5
1226 np p z0.5 3 5
1227 p m ok 3 5
1228 p m ok 3 5
1229 p m ok 3 5
1230 np p am 2 5
1231 np v er 0 5
1232 np p r2 1 5
1233 p p ok 3 5
1234 np p ok 3 5
1235 p m ok 3 5
1236 np p am 2 5
1237 np m am 2 5
1238 np p mue 1 5
1239 p p ok 3 5
1240 p m ok 3 5
1241 p g am 2 5
1242 np p z0.5 3 5
1243 np p r2 2 5
1244 p p ok 3 5
1245 p m am 2 5
1246 np v er 0 5
1247 np v er 0 5
1248 np m ok 3 5
1249 np v er 0 5
1250 np p r1 3 5
1251 np p z1 3 5
1252  np p ok 3 5
1253 np m ok 3 5
1254 np m ok 3 5
1255 p m ok 3 5
1256 p m ok 3 5
1257 p m ok 3 5
1258 np p r2 3 5
1259 p m ok 3 5
1260 p m ok 3 5
1261 np p r1 1 5
1262 np p r1 1 5
1263 np p ok 3 5
1264 np v er 0 5
1265 p g ok 3 5
1266 p m ok 3 5
1267 p p ok 3 5
1268 p m am 2 5
1269 np v er 0 5
1270 np p ok 3 5
1271 p p am 2 5
1272 np v er 0 5
1273 np p ok 3 5
1274 p p ok 3 5
1275 np p ok 3 5
1276 p p ok 3 5
1277 p m ok 3 5
1278 np v er 0 5
1279 p m am 2 5
1280 p m ok 3 5
1281 p m ok 3 5
1282 p m ok 3 5
1283 p p am 2 5
1284 p m ok 3 5
1285 p p ok 3 5
1286 p g ok 3 5
1287 np p ok 3 5
1288 np m ok 3 5
1289 p m ok 3 5
1290 p p am 2 5
1291 np p ok 3 5
1292 np p r1 3 5
1293 np p z1 3 5
1294 np p am 2 5
1295 np p ok 3 5
1296 p m ok 3 5
1297 p m am 2 5
1298 p g ok 3 5
1299 p m am 2 5
1300 p m ok 3 5
1301 p g ok 3 5
1302 p g ok 3 5
1303 np v er 0 5
1304 p g ok 3 5
1305 p m ok 3 5
1306 np v er 0 5
1307 np p z0.5 3 5
1308 p p ok 3 5
1309 np v er 0 5
1310 p p ok 3 5
1311 np p ok 3 5
1312 p m ok 3 5
1313 p g ok 3 5
1314 np p ok 3 5
1315 np p ok 3 5
1316 p m am 2 5
1317 np v er 0 5
1318 np p z1 3 5
1319 p m ok 3 5
1320 p m ok 3 5
1321 p m ok 3 5
1322 np v er 0 5
1323 p m ok 3 5
1324 p m ok 3 5
1325 p m ok 3 5
1326 p p am 2 5
1327 np v er 0 5
1328 p m ok 3 5
1329 np m ok 3 5
1330 np m ok 3 5
1331 p m ok 3 5
1332 np p r1 3 5
1333 p m ok 3 5
1334 np v er 0 5
1335 np v er 0 5
1336 np p r1 3 5
1337 p p am 2 5
1338 p p am 2 5
1339 p m am 2 5
1340 p m am 2 5
1341 p m ok 3 5
1342 p m ok 3 5
1343 p m ok 3 5
1344 np m rc2 3 5
1345 np v er 0 5
1346 p m am 2 5
1347 p m am 2 5
1348 np p z0.5 3 5
1349 p m ok 3 5
1350 p m ok 3 5
1351 p m ok 3 5
1352 np m ok 3 5
1353 p m ok 3 5
1354 p m ok 3 5
1355 p m ok 3 5
1356 p m ok 3 5
1357 p g ok 3 5
1358 p g ok 3 5
1359 p g ok 3 5
1360 np v er 0 5
1361 np p r1 3 5
1362 np v er 0 5
1363 p m am 2 5
1364 p m ok 3 5
1365 p m ok 3 5
1366 p m ok 3 5
1367 p m ok 3 5
1368 p p ok 3 5
1369 p m ok 3 5
1370 p m ok 3 5
